EMP_ID,AGE,GENDER,STATUS,EMPLOYMENT,SUFFICIENT_INCOME,SALARY,TO_DO_COMPLETED,DAILY_STRESS,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,FLOW,DAILY_STEPS,SLEEP_HOURS,LOST_VACATION,PERSONAL_AWARDS,TIME_FOR_HOBBY,HEALTHY_DIET,WORK_LIFE_BALANCE_SCORE
1,36 to 50,Female,divorced,flight_attendant,1,Low,6,2,5,0,5,2,4,5,7,5,4,0,3,609.5
2,36 to 50,Female,married,checkin_agent,2,High,5,3,3,8,10,5,2,5,8,2,3,2,2,655.6
3,36 to 50,Female,married,checkin_agent,2,High,2,3,4,4,10,3,2,4,8,10,4,8,2,631.6
4,51 or more,Female,married,checkin_agent,1,Medium,3,3,3,10,7,2,5,5,5,7,5,2,3,622.7
5,51 or more,Female,in a relation,checkin_agent,1,Low,5,1,3,10,4,2,0,5,7,0,8,1,5,663.9
6,51 or more,Female,in a relation,flight_attendant,1,Medium,6,2,9,10,10,2,1,7,8,0,10,8,3,722.3
7,51 or more,Male,married,flight_attendant,1,Low,8,2,6,10,10,3,8,7,7,10,10,8,4,727.2
8,25 to 35,Female,in a relation,flight_attendant,1,Low,8,4,3,5,7,4,2,8,6,0,8,2,3,676.2
9,25 to 35,Female,divorced,checkin_agent,1,Low,10,3,4,3,3,5,2,1,10,0,10,3,5,702.8
10,51 or more,Female,married,flight_attendant,1,Low,3,4,6,10,10,0,2,3,6,0,3,8,4,634.4
11,36 to 50,Female,single,checkin_agent,1,Low,2,4,7,1,1,3,2,7,8,7,3,0,2,610.1
12,25 to 35,Male,divorced,checkin_agent,1,Low,2,4,8,0,2,1,1,8,7,7,4,1,1,618.6
13,25 to 35,Male,in a relation,checkin_agent,1,Medium,7,2,5,2,8,3,1,6,8,0,5,2,2,686.4
14,36 to 50,Female,in a relation,flight_attendant,1,Medium,8,3,3,6,6,6,7,7,6,0,5,6,5,689.6
15,25 to 35,Female,divorced,checkin_agent,1,Low,8,3,3,7,5,3,0,2,8,3,4,5,3,639.7
16,51 or more,Female,single,checkin_agent,1,Medium,7,3,4,10,10,2,2,8,6,1,8,3,3,720.4
17,25 to 35,Male,in a relation,flight_attendant,1,Low,8,2,4,6,10,4,2,1,8,1,3,3,4,673.5
18,25 to 35,Male,in a relation,checkin_agent,1,Low,7,2,10,5,10,0,1,10,8,0,4,8,4,707.6
19,36 to 50,Female,married,checkin_agent,1,Medium,6,3,7,10,5,6,2,8,9,0,5,4,5,727.8
20,36 to 50,Male,married,checkin_agent,1,Low,8,1,10,10,6,3,4,1,8,0,5,1,3,687.1
21,25 to 35,Male,single,checkin_agent,1,Low,8,4,8,6,5,1,1,4,4,0,3,2,2,652.9
22,25 to 35,Female,single,flight_attendant,1,Medium,10,5,4,5,3,2,6,3,7,5,10,10,3,668.6
23,36 to 50,Male,in a relation,flight_attendant,1,Low,4,2,6,10,10,6,4,3,7,1,10,6,5,709.4
24,36 to 50,Male,married,flight_attendant,1,Medium,10,2,10,10,10,10,6,7,7,0,10,5,2,752.7
25,36 to 50,Female,married,checkin_agent,1,Low,6,4,10,5,5,6,1,7,6,0,1,3,2,677.7
26,25 to 35,Male,in a relation,flight_attendant,1,Medium,2,5,3,6,5,3,2,8,7,0,5,1,1,633.9
27,25 to 35,Male,in a relation,checkin_agent,1,Low,1,4,2,5,3,1,5,8,7,0,2,1,1,628.8
28,25 to 35,Female,married,checkin_agent,1,Low,6,4,3,10,7,8,0,5,7,0,10,2,2,692.8
29,36 to 50,Female,in a relation,checkin_agent,1,Medium,4,4,4,7,10,3,1,10,6,0,7,2,3,673.2
30,Less than 25,Female,married,flight_attendant,1,Medium,7,2,3,1,2,3,2,4,7,0,10,1,4,673.9
31,25 to 35,Male,divorced,checkin_agent,1,Medium,7,3,3,7,5,3,2,10,7,0,10,5,5,712.5
32,36 to 50,Female,in a relation,checkin_agent,1,Medium,5,1,5,2,10,4,4,3,8,0,10,4,3,692.6
33,36 to 50,Female,in a relation,checkin_agent,1,Medium,4,5,3,3,8,1,4,1,6,10,3,2,0,574.5
34,51 or more,Female,single,checkin_agent,1,Medium,2,3,3,2,3,2,2,5,8,0,4,3,1,630.1
35,25 to 35,Male,married,flight_attendant,1,Medium,10,2,6,10,8,10,2,10,7,0,10,4,4,746.5
36,25 to 35,Male,single,flight_attendant,1,Low,3,3,2,0,5,0,1,2,6,0,2,2,3,591.7
37,51 or more,Female,in a relation,checkin_agent,2,High,5,3,4,10,8,10,5,2,6,0,10,6,2,729.4
38,36 to 50,Female,single,checkin_agent,1,Medium,2,5,8,5,2,2,0,10,8,7,2,0,2,593.7
39,51 or more,Male,divorced,flight_attendant,1,Low,8,1,10,10,10,5,3,7,6,7,6,4,4,682.8
40,51 or more,Female,in a relation,checkin_agent,2,High,8,3,6,10,7,3,5,3,9,0,6,6,5,723.4
41,25 to 35,Female,single,checkin_agent,2,High,5,2,8,8,4,6,4,3,7,10,5,4,4,687.3
42,51 or more,Female,divorced,flight_attendant,2,High,0,3,8,10,3,2,0,3,5,0,4,0,4,635.9
43,51 or more,Female,divorced,flight_attendant,1,Medium,5,3,8,10,10,1,0,2,9,0,10,0,2,655.2
44,25 to 35,Male,divorced,flight_attendant,1,Medium,7,2,1,1,10,3,5,7,7,4,3,5,3,652.4
45,36 to 50,Female,single,checkin_agent,2,High,7,3,10,3,4,0,1,8,8,0,2,2,2,657.9
46,36 to 50,Female,single,checkin_agent,2,High,10,5,2,9,10,5,1,10,5,10,7,2,3,686.6
47,51 or more,Female,divorced,flight_attendant,1,Medium,7,3,10,10,6,4,4,10,6,5,8,4,5,732.7
48,25 to 35,Female,in a relation,flight_attendant,1,Medium,6,2,10,5,8,5,3,10,8,2,10,3,4,685.5
49,51 or more,Female,single,checkin_agent,1,Low,10,2,10,10,10,8,3,7,7,1,10,3,3,742.5
50,36 to 50,Female,divorced,flight_attendant,1,Medium,7,3,10,10,10,5,4,2,8,0,4,1,2,663.5
51,25 to 35,Female,single,flight_attendant,1,Medium,4,3,3,10,10,5,6,8,7,0,4,5,4,710.4
52,25 to 35,Female,married,checkin_agent,1,Medium,8,5,9,5,10,4,4,10,8,10,3,3,3,658.3
53,36 to 50,Male,in a relation,flight_attendant,1,Medium,5,2,6,1,10,4,1,5,6,0,8,1,1,633.1
54,51 or more,Female,married,checkin_agent,1,Low,5,2,6,4,9,3,3,6,8,0,2,3,5,677.9
55,25 to 35,Female,married,checkin_agent,1,Medium,4,2,10,10,2,5,2,1,6,10,3,4,4,640.8
56,Less than 25,Female,single,flight_attendant,1,Medium,0,4,1,1,7,1,5,3,6,10,2,2,1,557.9
57,36 to 50,Female,married,checkin_agent,1,Medium,6,2,6,2,10,1,3,5,8,3,10,1,4,669.2
58,36 to 50,Male,married,checkin_agent,1,Medium,4,4,6,5,10,7,4,10,7,0,6,4,5,712.5
59,51 or more,Female,single,checkin_agent,1,Low,9,3,1,10,2,4,2,10,7,0,10,1,4,712.5
60,25 to 35,Male,in a relation,checkin_agent,1,Medium,0,5,2,1,2,0,0,1,10,0,1,0,0,571.9
61,25 to 35,Male,married,flight_attendant,1,Low,1,5,2,1,2,1,0,1,10,0,1,0,0,575.3
62,25 to 35,Female,divorced,checkin_agent,1,Low,7,3,7,5,8,5,3,8,7,10,3,9,4,678.1
